f0w,f1w,f2w,f3w,success
20,1,0,1,490
20,1,0,2,483
20,1,0,3,489
20,1,0,4,488
20,1,0,5,473
20,1,0,6,462
20,1,0,7,470
20,1,0,8,464
20,1,0,9,463
20,1,0,10,458
20,2,0,1,459
20,2,0,2,491
20,2,0,3,492
20,2,0,4,496
20,2,0,5,488
20,2,0,6,491
20,2,0,7,485
20,2,0,8,482
20,2,0,9,472
20,2,0,10,478
20,3,0,1,396
20,3,0,2,485
20,3,0,3,493
20,3,0,4,489
20,3,0,5,489
20,3,0,6,490
20,3,0,7,491
20,3,0,8,490
20,3,0,9,486
20,3,0,10,486
20,4,0,1,380
20,4,0,2,449
20,4,0,3,485
20,4,0,4,489
20,4,0,5,490
20,4,0,6,492
20,4,0,7,494
20,4,0,8,488
20,4,0,9,493
20,4,0,10,490
20,5,0,1,370
20,5,0,2,402
20,5,0,3,476
20,5,0,4,479
20,5,0,5,491
20,5,0,6,490
20,5,0,7,493
20,5,0,8,491
20,5,0,9,493
20,5,0,10,491
20,6,0,1,368
20,6,0,2,398
20,6,0,3,464
20,6,0,4,485
20,6,0,5,484
20,6,0,6,479
20,6,0,7,490
20,6,0,8,493
20,6,0,9,489
20,6,0,10,489
20,7,0,1,332
20,7,0,2,363
20,7,0,3,413
20,7,0,4,471
20,7,0,5,484
20,7,0,6,482
20,7,0,7,490
20,7,0,8,496
20,7,0,9,492
20,7,0,10,494
20,8,0,1,316
20,8,0,2,374
20,8,0,3,400
20,8,0,4,444
20,8,0,5,480
20,8,0,6,486
20,8,0,7,485
20,8,0,8,488
20,8,0,9,488
20,8,0,10,490
20,9,0,1,298
20,9,0,2,383
20,9,0,3,387
20,9,0,4,399
20,9,0,5,471
20,9,0,6,476
20,9,0,7,485
20,9,0,8,484
20,9,0,9,495
20,9,0,10,494
20,10,0,1,307
20,10,0,2,352
20,10,0,3,388
20,10,0,4,398
20,10,0,5,452
20,10,0,6,473
20,10,0,7,480
20,10,0,8,486
20,10,0,9,485
20,10,0,10,491
